﻿Niveau d'eau quotidien (m) (PARAM = 2)
 ID,PARAM,Date,Valeur,SYM
02LA015,2,1965/04/03,41.39,
02LA015,2,1965/04/04,41.32,
02LA015,2,1965/04/05,41.45,
02LA015,2,1965/04/06,41.47,
02LA015,2,1965/04/07,41.56,
02LA015,2,1965/04/08,41.64,
02LA015,2,1965/04/09,41.67,
02LA015,2,1965/04/10,41.64,
02LA015,2,1965/04/11,41.64,
02LA015,2,1965/04/12,41.67,
02LA015,2,1965/04/13,41.75,
02LA015,2,1965/04/14,41.74,
02LA015,2,1965/04/15,41.77,
02LA015,2,1965/04/16,41.77,
02LA015,2,1965/04/17,41.79,
02LA015,2,1965/04/18,41.68,
02LA015,2,1965/04/19,41.71,
02LA015,2,1965/04/20,41.79,
02LA015,2,1965/04/21,41.85,
02LA015,2,1965/04/22,41.82,
02LA015,2,1965/04/23,41.85,
02LA015,2,1965/04/24,41.84,
02LA015,2,1965/04/25,41.76,
02LA015,2,1965/04/26,41.76,
02LA015,2,1965/04/27,41.76,
02LA015,2,1965/04/28,41.81,
02LA015,2,1965/04/29,41.79,
02LA015,2,1965/04/30,41.85,
02LA015,2,1965/05/01,41.87,
02LA015,2,1965/05/02,41.88,
02LA015,2,1965/05/03,42.02,
02LA015,2,1965/05/04,42.08,
02LA015,2,1965/05/05,42.08,
02LA015,2,1965/05/06,42.11,
02LA015,2,1965/05/07,42.17,
02LA015,2,1965/05/08,42.16,
02LA015,2,1965/05/09,42.14,
02LA015,2,1965/05/10,42.20,
02LA015,2,1965/05/11,42.21,
02LA015,2,1965/05/12,42.18,
02LA015,2,1965/05/13,42.13,
02LA015,2,1965/05/14,42.18,
02LA015,2,1965/05/15,42.18,
02LA015,2,1965/05/16,42.07,
02LA015,2,1965/05/17,42.06,
02LA015,2,1965/05/18,42.03,
02LA015,2,1965/05/19,42.10,
02LA015,2,1965/05/20,42.07,
02LA015,2,1965/05/21,42.07,
02LA015,2,1965/05/22,42.02,
02LA015,2,1965/05/23,41.87,
02LA015,2,1965/05/24,41.88,
02LA015,2,1965/05/25,41.98,
02LA015,2,1965/05/26,42.05,
02LA015,2,1965/05/27,42.03,
02LA015,2,1965/05/28,41.93,
02LA015,2,1965/05/29,41.89,
02LA015,2,1965/05/30,41.79,
02LA015,2,1965/05/31,41.79,
02LA015,2,1965/06/01,41.76,
02LA015,2,1965/06/02,41.73,
02LA015,2,1965/06/03,41.74,
02LA015,2,1965/06/04,41.69,
02LA015,2,1965/06/05,41.62,
02LA015,2,1965/06/06,41.54,
02LA015,2,1965/06/07,41.60,
02LA015,2,1965/06/08,41.56,
02LA015,2,1965/06/09,41.49,
02LA015,2,1965/06/10,41.49,
02LA015,2,1965/06/11,41.48,
02LA015,2,1965/06/12,41.48,
02LA015,2,1965/06/13,41.42,
02LA015,2,1965/06/14,41.48,
02LA015,2,1965/06/15,41.48,
02LA015,2,1965/06/16,41.46,
02LA015,2,1965/06/17,41.42,
02LA015,2,1965/06/18,41.37,
02LA015,2,1965/06/19,41.39,
02LA015,2,1965/06/20,41.33,
02LA015,2,1965/06/21,41.33,
02LA015,2,1965/06/22,41.37,
02LA015,2,1965/06/23,41.40,
02LA015,2,1965/06/24,41.33,
02LA015,2,1965/06/25,41.31,
02LA015,2,1965/06/26,41.32,
02LA015,2,1965/06/27,41.26,
02LA015,2,1965/06/28,41.34,
02LA015,2,1965/06/29,41.33,
02LA015,2,1965/06/30,41.33,
02LA015,2,1965/07/01,41.25,
02LA015,2,1965/07/02,41.29,
02LA015,2,1965/07/03,41.29,
02LA015,2,1965/07/04,41.22,
02LA015,2,1965/07/05,41.34,
02LA015,2,1965/07/06,41.35,
02LA015,2,1965/07/07,41.37,
02LA015,2,1965/07/08,41.35,
02LA015,2,1965/07/09,41.36,
02LA015,2,1965/07/10,41.31,
02LA015,2,1965/07/11,41.25,
02LA015,2,1965/07/12,41.34,
02LA015,2,1965/07/13,41.37,
02LA015,2,1965/07/14,41.34,
02LA015,2,1965/07/15,41.36,
